node_id,lat,lon,category
node/2043419168,43.7017936,-79.3341355,highway
node/2057182576,43.6791396,-79.3674251,highway
node/2057182695,43.6784024,-79.3685698,highway
node/2131495587,43.6762208,-79.5925032,highway
node/2131728888,43.695695,-79.6093154,highway
node/2164826721,43.6661701,-79.6949126,highway
node/2244050240,43.8899534,-79.5587457,highway
node/2258710645,43.6535571,-79.3491808,highway
node/2261930321,43.6602964,-79.354674,highway
node/2295972054,43.6831643,-79.3619059,highway
node/2383882755,43.6697074,-79.5880629,highway
node/2383892888,43.6741113,-79.5685569,highway
node/2714580471,43.6273662,-79.6909409,highway
node/2771660436,43.6356481,-79.4691291,highway
node/3086358024,43.7992995,-79.3447591,highway
node/3171159581,43.6280979,-79.6857933,highway
node/3843529130,43.7656861,-79.6331365,highway
node/4467627671,43.6844717,-79.6056142,highway
node/4569824000,43.86542,-79.5531241,highway
node/4698329903,43.8213157,-79.6563559,highway
node/4742998892,43.5038218,-79.6704517,highway
node/5764710138,43.6491579,-79.6732199,highway
node/5960572545,43.6841146,-79.3616299,highway
node/6655405021,43.6967463,-79.6084706,highway
node/7467260189,43.82276,-79.545661,highway
node/7512508884,43.8019992,-79.6407402,highway
node/7512534365,43.8111495,-79.6508945,highway
node/7512548592,43.7957472,-79.6390386,highway
node/7512672595,43.7848557,-79.6365406,highway
node/7512672600,43.7751662,-79.6351139,highway
node/7895315460,43.7740326,-79.535135,highway
node/9426717928,43.656447,-79.6842403,highway
node/9924411225,43.7699884,-79.55079,hospital
node/12104080211,43.6616543,-79.3828809,hospital
node/108447516,43.6961347,-79.354544,park
node/147134453,43.786175,-79.3954601,park
node/292767952,43.7180429,-79.3596537,park
node/299290515,43.7421281,-79.3692861,park
node/299296632,43.7422502,-79.3715346,park
node/343288369,43.7335675,-79.3172246,park
node/364925801,43.6519157,-79.4903485,park
node/364931637,43.6718999,-79.5144952,park
node/364934335,43.679648,-79.5086588,park
node/364941864,43.6846229,-79.5114331,park
node/364944377,43.6986162,-79.5201794,park
node/368144628,43.7102824,-79.5387914,park
node/368150111,43.7304436,-79.6188843,park
node/368368914,43.7525493,-79.5859201,park
node/558715498,43.7764386,-79.4629628,park
node/558715701,43.8837731,-79.0594051,park
node/560659879,43.8199692,-79.4248144,park
node/808902900,43.7713046,-79.3628919,park
node/1224160700,43.842251,-79.19685,park
node/1768239611,43.8909757,-79.5030159,park
node/1985067732,43.6961763,-79.5135316,park
node/1985067836,43.6977645,-79.5156779,park
node/2178501561,43.5686345,-79.5570772,park
node/2345710336,43.6506629,-79.5249986,park
node/2345778394,43.7466295,-79.5973298,park
node/2345778406,43.7468861,-79.5988149,park
node/2352947263,43.7188832,-79.3275182,park
node/2358057793,43.7469391,-79.3564344,park
node/2358057795,43.7460819,-79.3556849,park
node/2378561750,43.7238192,-79.4150341,park
node/2379216886,43.7795142,-79.447939,park
node/2424416832,43.6401672,-79.4900009,park
node/2434078800,43.7164649,-79.5592563,park
node/2447291688,43.6152238,-79.3772787,park
node/2448963439,43.7847982,-79.2951352,park
node/4017024021,43.7650536,-79.4163002,park
node/4044386606,43.8249984,-79.1965024,park
node/4444060471,43.8728112,-79.2974251,park
node/4635796544,43.7202914,-79.4473052,park
node/4638577997,43.8832404,-79.0867242,park
node/5276524656,43.7321708,-79.5352735,park
node/5278336636,43.870442,-79.326294,park
node/5357974661,43.8321873,-79.5437784,park
node/5357975614,43.8321106,-79.5433987,park
node/5357976787,43.8322398,-79.5440258,park
node/5363808462,43.8722211,-79.3159329,park
node/5368822667,43.8346446,-79.5419304,park
node/5970427778,43.6826547,-79.5117347,park
node/6591077792,43.7722247,-79.3653952,park
node/6907441731,43.8806879,-79.2572198,park
node/6984317119,43.7344147,-79.564462,park
node/7159542169,43.8986895,-79.396227,park
