node_id,lat,lon
node/36191979,43.6868306,-79.6151617
node/36192046,43.6848874,-79.6065619
node/36192281,43.6344349,-79.6718878
node/36192283,43.6361597,-79.6667486
node/36192361,43.6336291,-79.6525165
node/36531732,43.7506768,-79.4120702
node/36531895,43.7521888,-79.4093586
node/36532011,43.7554634,-79.4071099
node/36532056,43.7578306,-79.4020481
node/36532943,43.7586985,-79.6151139
node/36533097,43.7518653,-79.6384784
node/36533143,43.7479625,-79.6434925
node/36533692,43.7583974,-79.632535
node/36533755,43.7572736,-79.6232319
node/36533990,43.7541715,-79.6329104
node/37376712,43.7874508,-79.2301741
node/38067020,43.7838921,-79.24035
node/39600150,43.8484575,-79.3146819
node/60408512,43.6734669,-79.572889
node/60408638,43.6825138,-79.5749789
node/60408692,43.6558824,-79.5679102
node/60408700,43.6675065,-79.5728373
node/60408702,43.6698343,-79.5732649
node/60408743,43.6649582,-79.5728824
node/60408762,43.6725549,-79.5734396
node/60408786,43.6738511,-79.5712631
node/60948157,43.6394815,-79.3874545
